id_poursuite,business_id,date,description,adresse,date_jugement,etablissement,montant,proprietaire,ville,statut,date_statut,categorie
2645,219,"20150514","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec","20160329","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","1000","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","Montréal","Ouvert","19930310","Boulangerie"
2550,219,"20150305","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec","20160329","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","1000","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","Montréal","Ouvert","19930310","Boulangerie"
4613,219,"20170731","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","8591 Boul. Maurice-Duplessis, Montréal, Québec","20190111","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","1000","BOULANGERIE ET PATISSERIE LASALLE R.D.P. INC.","Montréal","Ouvert","19930310","Boulangerie"
6367,15320,"20190118","Le lieu ou le véhicule doit être exempt de contaminants, de polluants, de toute espèce d'animaux y compris les insectes et les rongeurs ou de leurs excréments.","821 Av. Ogilvy, Montréal, Québec","20210122","POPOTE ROULANTE # 102 FILIA","1800","CENTRE D'ACTION BENEVOLE DE MONTREAL INC.","Montréal","Ouvert","20000804","Restaurant mets pour emporter"
3270,813,"20160407","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec","20171124","LE ROI DE LA POINTE DE PIZZA","500","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
3944,813,"20161206","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec","20180426","LE ROI DE LA POINTE DE PIZZA","650","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
4448,813,"20170612","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec","20190125","LE ROI DE LA POINTE DE PIZZA","900","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
6432,813,"20190130","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec","20200312","LE ROI DE LA POINTE DE PIZZA","1100","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
5744,813,"20180828","Le produit altérable à la chaleur à l'exception des fruits et légumes frais entiers doit être refroidi sans retard et maintenu constamment à une température interne et ambiante ne dépassant pas 4C jusqu'à sa livraison au consommateur, sauf pendant le temps requis pour l'application d'un procédé de fabrication ou d'un traitement reconnu en industrie alimentaire et qui exige une plus haute température.","434 Rue Jarry Est, Montréal, Québec","20200214","LE ROI DE LA POINTE DE PIZZA","1000","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
3064,813,"20151229","Les lieux, véhicules, équipements, matériaux et ustensiles servant à la préparation au conditionnement, à l'entreposage, au transport, à l'étiquetage et au service des produits, ainsi que les autres installations et locaux sanitaires, doivent être propres.","434 Rue Jarry Est, Montréal, Québec","20170109","LE ROI DE LA POINTE DE PIZZA","400","9123-8907 QUEBEC INC.","Montréal","Fermé","20201204","Restaurant service rapide"
